Best Price,Best House,Make,Model,Detail,Size(s),Part ID,National,Spec Make,Texas Plumbing Supply,Spec Make,Ferguson,Spec Make,Reece,Spec Make,Winston Water Cooler,Spec Make,Texas Wholesale,Spec Make,PlumbingSupply.com,Spec Make,Moore Supply,Spec Make,Hughes Supply,Spec Make,Bruh,Winsupply,Spec Make,Other,Column 1,HIDDEN COLUMN FOR TWP CODES
$3.05 ,Texas Wholesale,Lesso,DWV Fitting,"1/4 BEND, STREET (S X H)","1-1/4""",PVC114S90,,,,,,,,,,,$3.05 ,,,,,,,,,,,,,"1/4 BEND, STREET (S X H)"
$0.69 ,Texas Wholesale,Lesso,DWV Fitting,"1/4 BEND, STREET (S X H)","1-1/2""",PVC112S90,,,$1.57 ,,,,,,,,$0.69 ,,,,,,,,,,,,,"1/4 BEND, STREET (S X H)"
$1.06 ,Texas Wholesale,Lesso,DWV Fitting,"1/4 BEND, STREET (S X H)","2""",PVC2S90,,,$2.42 ,,,,,,,,$1.06 ,,,,,,,,,,,,,"1/4 BEND, STREET (S X H)"
$2.97 ,Texas Wholesale,Lesso,DWV Fitting,"1/4 BEND, STREET (S X H)","3""",PVC3S90,,,$6.73 ,,,,,,,,$2.97 ,,,,,,,,,,,,,"1/4 BEND, STREET (S X H)"
$4.98 ,Texas Wholesale,Lesso,DWV Fitting,"1/4 BEND, STREET (S X H)","4""",PVC4S90,,,$11.25 ,,,,,,,,$4.98 ,,,,,,,,,,,,,"1/4 BEND, STREET (S X H)"
$22.29 ,Texas Wholesale,Lesso,DWV Fitting,"1/4 BEND, STREET (S X H)","6""",PVC6S90,,,$60.76 ,,,,,,,,$22.29 ,,,,,,,,,,,,,"1/4 BEND, STREET (S X H)"
$41.74 ,Texas Wholesale,Lesso,DWV Fitting,"1/4 BEND, STREET (S X H)","8""",PVC8S90,,,,,,,,,,,$41.74 ,,,,,,,,,,,,,"1/4 BEND, STREET (S X H)"
$1.24 ,Texas Wholesale,Lesso,DWV Fitting,LONG SWEEP 1/4 BEND (H X H),"1-1/2""",PVC112LS90,,,$2.82 ,,,,,,,,$1.24 ,,,,,,,,,,,,,LONG SWEEP 1/4 BEND (H X H)
$1.38 ,Texas Wholesale,Lesso,DWV Fitting,LONG SWEEP 1/4 BEND (H X H),"2""",PVC2LS90,,,$3.14 ,,,,,,,,$1.38 ,,,,,,,,,,,,,LONG SWEEP 1/4 BEND (H X H)
$3.19 ,Texas Wholesale,Lesso,DWV Fitting,LONG SWEEP 1/4 BEND (H X H),"3""",PVC3LS90,,,$7.25 ,,,,,,,,$3.19 ,,,,,,,,,,,,,LONG SWEEP 1/4 BEND (H X H)
$6.05 ,Texas Wholesale,Lesso,DWV Fitting,LONG SWEEP 1/4 BEND (H X H),"4""",PVC4LS90,,,$13.68 ,,,,,,,,$6.05 ,,,,,,,,,,,,,LONG SWEEP 1/4 BEND (H X H)
$23.63 ,Texas Wholesale,Lesso,DWV Fitting,LONG SWEEP 1/4 BEND (H X H),"6""",PVC6LS90,,,$53.31 ,,,,,,,,$23.63 ,,,,,,,,,,,,,LONG SWEEP 1/4 BEND (H X H)
$1.92 ,Texas Wholesale,Lesso,DWV Fitting,"LONG SWEEP 1/4 BEND, STREET (H X S)","1-1/2""",PVC112LSS90,,,$4.33 ,,,,,,,,$1.92 ,,,,,,,,,,,,,"LONG SWEEP 1/4 BEND, STREET (H X S)"
$2.29 ,Texas Wholesale,Lesso,DWV Fitting,"LONG SWEEP 1/4 BEND, STREET (H X S)","2""",PVC2LSS90,,,$5.18 ,,,,,,,,$2.29 ,,,,,,,,,,,,,"LONG SWEEP 1/4 BEND, STREET (H X S)"
$5.71 ,Texas Wholesale,Lesso,DWV Fitting,"LONG SWEEP 1/4 BEND, STREET (H X S)","3""",PVC3LSS90,,,$12.88 ,,,,,,,,$5.71 ,,,,,,,,,,,,,"LONG SWEEP 1/4 BEND, STREET (H X S)"
$8.80 ,Texas Wholesale,Lesso,DWV Fitting,"LONG SWEEP 1/4 BEND, STREET (H X S)","4""",PVC4LSS90,,,$23.98 ,,,,,,,,$8.80 ,,,,,,,,,,,,,"LONG SWEEP 1/4 BEND, STREET (H X S)"
$1.28 ,Texas Wholesale,Lesso,DWV Fitting,1/8 BEND (H X H),"1-1/4""",PVC11445,,,,,,,,,,,$1.28 ,,,,,,,,,,,,,1/8 BEND (H X H)
$0.52 ,Texas Wholesale,Lesso,DWV Fitting,1/8 BEND (H X H),"1-1/2""",PVC11245,$1.04 ,,$1.19 ,,,,,,,,$0.52 ,,,,,,,,,,,,,1/8 BEND (H X H)
$0.78 ,Texas Wholesale,Lesso,DWV Fitting,1/8 BEND (H X H),"2""",PVC245,$1.56 ,,$1.78 ,,,,,,,,$0.78 ,,,,,,,,,,,,,1/8 BEND (H X H)
$2.22 ,Texas Wholesale,Lesso,DWV Fitting,1/8 BEND (H X H),"3""",PVC345,,,$5.05 ,,,,,,,,$2.22 ,,,,,,,,,,,,,1/8 BEND (H X H)
$3.89 ,Texas Wholesale,Lesso,DWV Fitting,1/8 BEND (H X H),"4""",PVC445,,,$9.25 ,,,,,,,,$3.89 ,,,,,,,,,,,,,1/8 BEND (H X H)
$15.14 ,Texas Wholesale,Lesso,DWV Fitting,1/8 BEND (H X H),"6""",PVC645,,,$34.16 ,,,,,,,,$15.14 ,,,,,,,,,,,,,1/8 BEND (H X H)
$19.82 ,Texas Wholesale,Lesso,DWV Fitting,1/8 BEND (H X H),"8""",PVC845,,,$44.73 ,,,,,,,,$19.82 ,,,,,,,,,,,,,1/8 BEND (H X H)
$1.75 ,Texas Wholesale,Lesso,DWV Fitting,"1/8 BEND, STREET (H X S)","1-1/4""",PVC114S45,,,,,,,,,,,$1.75 ,,,,,,,,,,,,,"1/8 BEND, STREET (H X S)"
$0.50 ,Texas Wholesale,Lesso,DWV Fitting,"1/8 BEND, STREET (H X S)","1-1/2""",PVC112S45,$1.00 ,,$1.14 ,,,,,,,,$0.50 ,,,,,,,,,,,,,"1/8 BEND, STREET (H X S)"
$0.80 ,Texas Wholesale,Lesso,DWV Fitting,"1/8 BEND, STREET (H X S)","2""",PVC2S45,,,$1.81 ,,,,,,,,$0.80 ,,,,,,,,,,,,,"1/8 BEND, STREET (H X S)"
$2.10 ,Texas Wholesale,Lesso,DWV Fitting,"1/8 BEND, STREET (H X S)","3""",PVC3S45,,,$4.79 ,,,,,,,,$2.10 ,,,,,,,,,,,,,"1/8 BEND, STREET (H X S)"
$3.61 ,Texas Wholesale,Lesso,DWV Fitting,"1/8 BEND, STREET (H X S)","4""",PVC4S45,,,$8.20 ,,,,,,,,$3.61 ,,,,,,,,,,,,,"1/8 BEND, STREET (H X S)"
$17.93 ,Texas Wholesale,Lesso,DWV Fitting,"1/8 BEND, STREET (H X S)","6""",PVC6S45,,,$40.46 ,,,,,,,,$17.93 ,,,,,,,,,,,,,"1/8 BEND, STREET (H X S)"
$21.52 ,Texas Wholesale,Lesso,DWV Fitting,"1/8 BEND, STREET (H X S)","8""",PVC8S45,,,$58.66 ,,,,,,,,$21.52 ,,,,,,,,,,,,,"1/8 BEND, STREET (H X S)"
$53.81 ,Texas Wholesale,Lesso,DWV Fitting,"1/8 BEND, STREET (H X S)","10""",PVC10S45,,,$199.37 ,,,,,,,,$53.81 ,,,,,,,,,,,,,"1/8 BEND, STREET (H X S)"
